id,title_cn,title_jp,title_en,region,type,rating,points_count,center_lat,center_lng,cover_url,bgm_id
17035,寒蝉鸣泣之时,ひぐらしのなく頃に,,岐阜县,游戏,8.2,127,0,0,http://bgm-api.anitabi.cn/pic/cover/l/58/ef/17035_n33xd.jpg,
8018,假面骑士剑,仮面ライダー剣,,,日剧,7.9,1,0,0,http://bgm-api.anitabi.cn/pic/cover/l/ba/63/8018_zg14s.jpg,
297254,剃须。然后捡到女高中生。,ひげを剃る。そして女子高生を拾う。,,,TV,5.3,10,43.386968,142.056473,http://bgm-api.anitabi.cn/pic/cover/l/e9/78/297254_kdK52.jpg,
1707,云之彼端，约定的地方,雲のむこう、約束の場所,-The place promised in our early days-,青森县,剧场版,7.3,10,41.044197,140.540194,https://w.junreimap.com/images/bangumi/1707.jpg,78754
297152,京都小住。,ちょこっと京都に住んでみた。,,京都市,日剧,6.9,17,0,0,http://bgm-api.anitabi.cn/pic/cover/l/6d/55/297152_MK8wq.jpg,
38655,奥特曼,ULTRAMAN,,东京都,电影,7.7,3,0,0,http://bgm-api.anitabi.cn/pic/cover/l/07/c3/38655_Kr0G9.jpg,
279450,破烂机器迷糊子,ぽんこつポン子,,沼津市,漫画,7.4,26,34.974071,138.772295,https://w.junreimap.com/images/bangumi/279450.jpg,31654
292359,听我的电波吧,波よ聞いてくれ,"Wave,Listen to me!",札幌市,TV,7.5,31,43.053743,141.288532,https://w.junreimap.com/images/bangumi/292359.jpg,7278
137722,只有我不存在的城市,僕だけがいない街,,苫小牧市,TV,7.7,34,42.639286,141.597955,https://w.junreimap.com/images/bangumi/137722.jpg,30702
236074,闪亮美妙☆频道,キラッとプリ☆チャン,,东京都,TV,6.2,1,0,0,http://bgm-api.anitabi.cn/pic/cover/l/99/92/236074_shlLQ.jpg,
418527,艺术学院1994,艺术学院1994,,,剧场版,5.9,1,0,0,http://bgm-api.anitabi.cn/pic/cover/l/34/25/418527_q9XqP.jpg,
445826,记忆缝线,ユア・フォルマ,,欧洲,TV,0,62,51.505551,-0.109166,http://bgm-api.anitabi.cn/pic/cover/l/14/39/445826_id8dk.jpg,
181958,战地1,Battlefield 1,,,游戏,7.6,4,0,0,http://bgm-api.anitabi.cn/pic/cover/l/ee/aa/181958_zXxf2.jpg,
246818,战地5,Battlefield V,,,游戏,6.2,3,0,0,http://bgm-api.anitabi.cn/pic/cover/l/e6/2d/246818_8WeVe.jpg,
222694,梦旅人,PiCNiC,,,电影,7.3,9,0,0,http://bgm-api.anitabi.cn/pic/cover/l/3e/81/222694_JZ3s7.jpg,
297264,亚托莉 -我挚爱的时光-,ATRI -My Dear Moments-,,,游戏,7.3,1,35.07781,136.075591,https://w.junreimap.com/images/bangumi/297264.jpg,
397604,亚托莉 -我挚爱的时光-,ATRI -My Dear Moments-,,铫子市,TV,7.1,19,35.743127,140.85377,https://w.junreimap.com/images/bangumi/397604.jpg,3144
241089,天狼 Sirius the Jaeger,天狼 Sirius the Jaeger,,海外,TV,5.8,4,46.62155,142.761928,https://w.junreimap.com/images/bangumi/241089.jpg,276533
3478,交响情人梦Finale,のだめカンタービレ フィナーレ,,,TV,7.9,10,0,0,http://bgm-api.anitabi.cn/pic/cover/l/b0/71/3478_1LJKF.jpg,
1966,交响情人梦 巴黎篇,のだめカンタービレ 巴里編,,,TV,7.7,19,0,0,http://bgm-api.anitabi.cn/pic/cover/l/36/83/1966_gSCg8.jpg,
239910,Ingress,イングレス,Ingress The Animation,海外,TV,6.2,14,35.647342,139.750858,https://w.junreimap.com/images/bangumi/239910.jpg,1149
290986,Study § Steady,「スタディ§ステディ」 コンプリートサウンドアルバム,,,,7.1,1,0,0,http://bgm-api.anitabi.cn/pic/cover/l/2f/6a/290986_Z3vj9.jpg,
565,名侦探柯南,名探偵コナン,,,漫画系列,7.6,1,0,0,http://bgm-api.anitabi.cn/pic/cover/l/cb/cb/565_pWWbW.jpg,
419558,灵视异闻 FILE23 本所七大不可思议,パラノマサイト FILE23 本所七不思議,,墨田区,游戏,7.6,16,35.70643,139.816906,https://w.junreimap.com/images/bangumi/419558.jpg,1086
36261,晚安，布布,おやすみプンプン,,鹿儿岛县,漫画,8.8,22,35.599125,139.631156,https://w.junreimap.com/images/bangumi/36261.jpg,2498
